,coords,weight,point_type
126,"(44.8193564, -93.6116099)",79,Child Care
127,"(44.940988, -93.2656691)",53,Child Care
128,"(44.9284761, -93.2853334)",60,Child Care
129,"(44.0370425, -92.7543765)",119,Child Care
130,"(44.9125099, -93.4022909)",151,Child Care
131,"(44.88658059999999, -94.3867897)",63,Child Care
132,"(44.9978369, -93.0840749)",65,Child Care
133,"(47.402259, -92.9246896)",198,Child Care
134,"(44.0611557, -92.48619)",151,Child Care
135,"(44.0493147, -92.4547745)",97,Child Care
136,"(45.1317981, -94.5189046)",156,Child Care
137,"(44.8975725, -94.3614508)",62,Child Care
138,"(44.8076905, -93.3812344)",99,Child Care
139,"(45.1117631, -93.221952)",97,Child Care
140,"(44.8429789, -93.3299987)",136,Child Care
141,"(44.8264721, -93.1651806)",114,Child Care
142,"(45.0678272, -93.4424498)",107,Child Care
143,"(45.079836, -93.060844)",96,Child Care
144,"(44.6965687, -93.2848896)",126,Child Care
145,"(45.16773939999999, -93.2552394)",93,Child Care
146,"(45.0822043, -93.1179082)",96,Child Care
147,"(44.9212193, -92.934842)",170,Child Care
148,"(45.0948767, -93.3728873)",96,Child Care
149,"(44.816672, -92.9339429)",118,Child Care
150,"(45.036294, -93.0210119)",118,Child Care
151,"(45.2769856, -92.9956058)",59,Child Care
152,"(45.0362111, -93.4021117)",115,Child Care
153,"(44.7395845, -93.2219557)",89,Child Care
154,"(45.0124564, -93.1459058)",136,Child Care
155,"(44.8766914, -93.3304708)",152,Child Care
156,"(44.9087294, -93.5047673)",97,Child Care
157,"(45.0354031, -93.1380066)",30,Child Care
158,"(45.0009095, -93.3566166)",36,Child Care
159,"(45.08207059999999, -93.2194533)",20,Child Care
160,"(46.0700261, -95.2726369)",10,Child Care
161,"(44.9848991, -93.3034693)",82,Child Care
162,"(44.90505659999999, -93.3322333)",59,Child Care
163,"(44.9139209, -93.3248144)",50,Child Care
164,"(44.921234, -93.2918032)",40,Child Care
165,"(45.2615724, -92.9688424)",20,Child Care
166,"(44.93550620000001, -93.6385757)",61,Child Care
167,"(46.82896239999999, -92.0333989)",40,Child Care
168,"(46.80093890000001, -92.1384396)",20,Child Care
169,"(43.7168673, -91.9762644)",98,Child Care
170,"(45.20813829999999, -93.2353633)",69,Child Care
171,"(46.2849696, -96.081017)",30,Child Care
172,"(47.8494427, -92.685048)",24,Child Care
173,"(46.707855, -92.357049)",20,Child Care
174,"(45.9707192, -94.3370186)",100,Child Care
175,"(44.9486759, -93.3461725)",52,Child Care
176,"(44.3244817, -93.9620979)",10,Child Care
177,"(45.0615344, -93.2495212)",50,Child Care
178,"(44.9387098, -93.1702002)",52,Child Care
179,"(44.936063, -93.1163741)",188,Child Care
180,"(47.3139119, -95.971868)",20,Child Care
181,"(44.9042251, -93.2763598)",103,Child Care
182,"(44.9876734, -93.0924797)",80,Child Care
183,"(44.0008169, -92.447397)",42,Child Care
184,"(45.1001222, -93.2216342)",60,Child Care
185,"(44.9018546, -93.5657)",20,Child Care
186,"(44.8987139, -93.0969971)",55,Child Care
187,"(44.9423034, -95.7101505)",60,Child Care
188,"(46.8677669, -96.7607578)",74,Child Care
189,"(45.1061256, -93.2119699)",43,Child Care
190,"(44.9009479, -93.5710647)",96,Child Care
