,coords,weight,point_type
1870,"(45.18396913671693, -93.03930917355241)",-58,Census_Blocks
1871,"(45.15716625168844, -93.04910580089235)",-16,Census_Blocks
1872,"(45.1689909296242, -93.04390757989117)",-74,Census_Blocks
1873,"(45.17005092150064, -93.06372768813864)",-93,Census_Blocks
1874,"(45.19989946028176, -93.07831511011874)",-181,Census_Blocks
1875,"(45.20408343041614, -93.10908195679477)",-13,Census_Blocks
1876,"(45.19026393806523, -93.11394794728768)",-134,Census_Blocks
1877,"(45.27277446529862, -93.20998788961609)",-73,Census_Blocks
1878,"(45.27398377839885, -93.16734685741558)",-127,Census_Blocks
1879,"(45.289587978080846, -93.1731096501507)",-39,Census_Blocks
1880,"(45.287406549343515, -93.21945644277069)",-24,Census_Blocks
1881,"(45.27665904025122, -93.24987828363993)",-120,Census_Blocks
1882,"(45.13663014830329, -93.11554966691749)",-87,Census_Blocks
1883,"(45.13408234023398, -93.10072439082957)",-71,Census_Blocks
1884,"(45.134312158891504, -93.07265932535385)",-51,Census_Blocks
1885,"(45.134763408557, -93.13243477837545)",-81,Census_Blocks
1886,"(45.16756902454478, -93.10262801259861)",-32,Census_Blocks
1887,"(45.15647308032664, -93.0719562187443)",-47,Census_Blocks
1888,"(45.15184333491584, -93.09555656753068)",-25,Census_Blocks
1889,"(45.237830260576274, -93.31102971311586)",0,Census_Blocks
1890,"(45.25582015318492, -93.29741986197003)",-174,Census_Blocks
1891,"(45.253572788198035, -93.31124164604957)",-25,Census_Blocks
1892,"(45.241345826246, -93.29812225175904)",-365,Census_Blocks
1893,"(45.24712117154937, -93.27759088268994)",-31,Census_Blocks
1894,"(45.25622476036404, -93.41833980825093)",-314,Census_Blocks
1895,"(45.25503649630046, -93.40005715337371)",-76,Census_Blocks
1896,"(45.2745726830274, -93.42087992385645)",-74,Census_Blocks
1897,"(45.292830008890334, -93.41021164902372)",-44,Census_Blocks
1898,"(45.21045852640755, -93.40012349024039)",-144,Census_Blocks
1899,"(45.22085898408136, -93.4142890434012)",0,Census_Blocks
1900,"(45.21831087492919, -93.39530670380077)",-101,Census_Blocks
1901,"(45.20285875323573, -93.40241810504091)",0,Census_Blocks
1902,"(45.19538234421559, -93.39515323937806)",-18,Census_Blocks
1903,"(45.209862910225716, -93.41578823260869)",-18,Census_Blocks
1904,"(45.19862194928708, -93.40638576682723)",-33,Census_Blocks
1905,"(45.19338021080209, -93.3810223231509)",-107,Census_Blocks
1906,"(45.1907386411899, -93.38598368554224)",-44,Census_Blocks
1907,"(45.20230638239752, -93.38392784991277)",-35,Census_Blocks
1908,"(45.18471992724777, -93.37631566291229)",-127,Census_Blocks
1909,"(45.197793479818216, -93.37224311924363)",-12,Census_Blocks
1910,"(45.214447056114516, -93.36592946127541)",-151,Census_Blocks
1911,"(45.21761898570462, -93.37455560696992)",-56,Census_Blocks
1912,"(45.22422477389406, -93.38307835378251)",-160,Census_Blocks
1913,"(45.20759247365129, -93.37354593104189)",-62,Census_Blocks
1914,"(45.1855596299094, -93.32917640669197)",-74,Census_Blocks
1915,"(45.17947558685348, -93.3269819337565)",-98,Census_Blocks
1916,"(45.165498400080686, -93.34412362931485)",-100,Census_Blocks
1917,"(45.15732657019865, -93.32493021996193)",-90,Census_Blocks
1918,"(45.16256564141227, -93.32981072806663)",-63,Census_Blocks
1919,"(45.16699330671226, -93.34149685789183)",-131,Census_Blocks
1920,"(45.14378268665174, -93.30329754930821)",-60,Census_Blocks
1921,"(45.15422523908457, -93.31345480784282)",-64,Census_Blocks
1922,"(45.17374176864127, -93.33474762045635)",-90,Census_Blocks
1923,"(45.173413298393086, -93.3244568938465)",-147,Census_Blocks
1924,"(45.16743168561933, -93.3250246116384)",-11,Census_Blocks
1925,"(45.16143481786153, -93.31017338593736)",-56,Census_Blocks
1926,"(45.15708302609621, -93.29723265205074)",-38,Census_Blocks
1927,"(45.16525802311282, -93.30584213306601)",-98,Census_Blocks
1928,"(45.16827587316654, -93.29902052595642)",0,Census_Blocks
1929,"(45.176175416509786, -93.31178282449683)",-75,Census_Blocks
1930,"(45.20877666214355, -93.35647982636023)",-98,Census_Blocks
1931,"(45.20550564132904, -93.34181554838271)",-62,Census_Blocks
1932,"(45.20087957328977, -93.35474151696829)",0,Census_Blocks
1933,"(45.192178210586825, -93.34575495154785)",-75,Census_Blocks
1934,"(45.18388934685483, -93.36040888362837)",0,Census_Blocks
1935,"(45.17983112606991, -93.34544548830011)",-54,Census_Blocks
1936,"(45.189739742554664, -93.35627611011337)",-29,Census_Blocks
1937,"(45.19183391483416, -93.36610408811408)",-53,Census_Blocks
1938,"(45.177339681607975, -93.27050644133557)",-23,Census_Blocks
1939,"(45.182125345949345, -93.2784209876622)",-38,Census_Blocks
1940,"(45.183101754371854, -93.28790829046599)",-151,Census_Blocks
1941,"(45.17843179983569, -93.30171093376086)",0,Census_Blocks
1942,"(45.17282651583723, -93.28766660945828)",-58,Census_Blocks
1943,"(45.16863670234677, -93.272352683796)",-35,Census_Blocks
1944,"(45.165087635043896, -93.29086280478595)",-18,Census_Blocks
1945,"(45.17046991484124, -93.27918081715573)",-39,Census_Blocks
1946,"(45.15945436796325, -93.27056741906199)",-15,Census_Blocks
1947,"(45.1594466404614, -93.27810380389928)",-16,Census_Blocks
1948,"(45.13613594174541, -93.26833717619127)",-61,Census_Blocks
1949,"(45.14919121014427, -93.26924818676174)",-93,Census_Blocks
1950,"(45.20296581545916, -93.31234795662307)",-15,Census_Blocks
1951,"(45.20476763907054, -93.30025695440143)",0,Census_Blocks
1952,"(45.20319167328634, -93.32608644431758)",-127,Census_Blocks
1953,"(45.21036262259053, -93.31993855107906)",0,Census_Blocks
1954,"(45.133267183057654, -93.29291285243684)",-120,Census_Blocks
1955,"(45.12696381630763, -93.28428042168152)",-45,Census_Blocks
1956,"(45.16030154384077, -93.28789697134049)",-46,Census_Blocks
1957,"(45.15400122169108, -93.28482873807172)",-85,Census_Blocks
1958,"(45.132765862646885, -93.27725258178407)",0,Census_Blocks
1959,"(45.14514257576196, -93.27606094605099)",-46,Census_Blocks
1960,"(45.14542623904338, -93.2870997530201)",-64,Census_Blocks
1961,"(45.204278237350465, -93.28003973105393)",-27,Census_Blocks
1962,"(45.19404886851885, -93.27411323289476)",-81,Census_Blocks
1963,"(45.18766557090469, -93.27213336256771)",-74,Census_Blocks
1964,"(45.19147088428296, -93.28777127396827)",-97,Census_Blocks
1965,"(45.19132225108858, -93.32376630880002)",-99,Census_Blocks
1966,"(45.193996785622474, -93.31234639973577)",-21,Census_Blocks
1967,"(45.19343804583072, -93.3009209459636)",-44,Census_Blocks
1968,"(45.18632301767189, -93.30336367562217)",-100,Census_Blocks
1969,"(45.1802349773378, -93.26058770236828)",-39,Census_Blocks
1970,"(45.17529886823944, -93.2622436522006)",-87,Census_Blocks
1971,"(45.171022850083645, -93.2598310722861)",-20,Census_Blocks
1972,"(45.17178989545031, -93.24530525473406)",-107,Census_Blocks
1973,"(45.16531693813707, -93.25516877403233)",-60,Census_Blocks
1974,"(45.162724388067, -93.2618563406704)",-36,Census_Blocks
1975,"(45.14667622092005, -93.24970560659793)",-95,Census_Blocks
1976,"(45.140875251129565, -93.24034446006169)",-33,Census_Blocks
1977,"(45.14423801921565, -93.2587272857994)",-58,Census_Blocks
1978,"(45.14554669132166, -93.25378606432388)",-12,Census_Blocks
1979,"(45.1362908915204, -93.25715843770205)",-86,Census_Blocks
1980,"(45.12901029435605, -93.24984819153622)",-172,Census_Blocks
1981,"(45.1586896391104, -93.18609248244783)",-221,Census_Blocks
1982,"(45.185934083019234, -93.15310661439489)",-136,Census_Blocks
1983,"(45.15753618969541, -93.151015851932)",-149,Census_Blocks
1984,"(45.19137340420598, -93.21021769737636)",-135,Census_Blocks
1985,"(45.193942241807456, -93.20096666017734)",-76,Census_Blocks
1986,"(45.202307690805114, -93.17697861520746)",-189,Census_Blocks
1987,"(45.20515545816206, -93.19929605179132)",-330,Census_Blocks
1988,"(45.179652060661454, -93.18052432008052)",-169,Census_Blocks
1989,"(45.182242764496266, -93.19874700392948)",-82,Census_Blocks
1990,"(45.194790020452075, -93.18671612199515)",-59,Census_Blocks
1991,"(45.18822546410914, -93.1928883543069)",-44,Census_Blocks
1992,"(45.18513060605455, -93.21391693124458)",-59,Census_Blocks
1993,"(45.18723444806744, -93.22715305385792)",-22,Census_Blocks
1994,"(45.19346758931613, -93.22617923691158)",-65,Census_Blocks
1995,"(45.179979354246434, -93.22727928021611)",-43,Census_Blocks
1996,"(45.17576993956623, -93.21399975619397)",-20,Census_Blocks
1997,"(45.17125671238307, -93.22518679728407)",-68,Census_Blocks
1998,"(45.16453322785869, -93.22453006206389)",0,Census_Blocks
1999,"(45.174854798635, -93.23302158671962)",-171,Census_Blocks
2000,"(45.20092791911716, -93.22695114856805)",-193,Census_Blocks
2001,"(45.208221499427296, -93.22627286516753)",-64,Census_Blocks
2002,"(45.20673531201717, -93.24913708196264)",-31,Census_Blocks
2003,"(45.20388737917804, -93.23956953921302)",-105,Census_Blocks
2004,"(45.20319463823951, -93.258147536193)",-40,Census_Blocks
2005,"(45.18044223672707, -93.2511265798438)",-103,Census_Blocks
2006,"(45.19413419248567, -93.23960875943406)",-89,Census_Blocks
2007,"(45.183899795862246, -93.2413161973881)",-18,Census_Blocks
2008,"(45.19105732699286, -93.25864721606546)",-190,Census_Blocks
2009,"(45.18988098296603, -93.25139934663825)",-28,Census_Blocks
2010,"(45.15230802361362, -93.24046792657495)",-49,Census_Blocks
2011,"(45.16388331635722, -93.23844970086404)",-13,Census_Blocks
2012,"(45.16315564402146, -93.24639761850395)",-78,Census_Blocks
2013,"(45.156228154203504, -93.2518045593895)",-203,Census_Blocks
2014,"(45.15307943818203, -93.25974810406369)",-71,Census_Blocks
2015,"(45.12871646548483, -93.16913328519622)",-62,Census_Blocks
2016,"(45.136284037256964, -93.18274410914456)",-75,Census_Blocks
2017,"(45.13735514978525, -93.19981828389469)",-184,Census_Blocks
2018,"(45.131610912601694, -93.19469351373284)",-45,Census_Blocks
2019,"(45.14721817223022, -93.21404741015323)",-16,Census_Blocks
2020,"(45.130677180384225, -93.22290128163945)",0,Census_Blocks
2021,"(45.134811879122545, -93.16896737500088)",-51,Census_Blocks
2022,"(45.14122184051955, -93.17436584938248)",-24,Census_Blocks
2023,"(45.132521973977994, -93.15265692306943)",-106,Census_Blocks
2024,"(45.14234352477362, -93.14597665838114)",-64,Census_Blocks
2025,"(45.149190445896, -93.15471919503537)",-167,Census_Blocks
2026,"(45.11503986881282, -93.23443951538295)",-98,Census_Blocks
2027,"(45.11799369948638, -93.24391447069257)",-56,Census_Blocks
2028,"(45.11144949891861, -93.2560357884198)",-101,Census_Blocks
2029,"(45.11983013789396, -93.25603682873208)",-53,Census_Blocks
2030,"(45.10915825707374, -93.2689335274108)",-247,Census_Blocks
2031,"(45.095287651538904, -93.27427568461844)",0,Census_Blocks
2032,"(45.112987917632495, -93.2778505700081)",-16,Census_Blocks
2033,"(45.112468599742996, -93.28507302535306)",-201,Census_Blocks
2034,"(45.09535483488428, -93.25340475841641)",-45,Census_Blocks
2035,"(45.088535563681106, -93.25389202310659)",-143,Census_Blocks
2036,"(45.10418612980669, -93.24580885657168)",-25,Census_Blocks
2037,"(45.10414729640978, -93.25556209369209)",-52,Census_Blocks
2038,"(45.088845799429535, -93.23682955881036)",-115,Census_Blocks
2039,"(45.10404480618511, -93.23594521179082)",-124,Census_Blocks
2040,"(45.09563934641862, -93.23508307884389)",-145,Census_Blocks
2041,"(45.079333461195844, -93.26796340391088)",-95,Census_Blocks
2042,"(45.07391589682302, -93.2658170136242)",-35,Census_Blocks
2043,"(45.078570030193454, -93.27569025249512)",-346,Census_Blocks
2044,"(45.07422185426547, -93.25421660032632)",-232,Census_Blocks
2045,"(45.082739434614545, -93.25406539631427)",-113,Census_Blocks
2046,"(45.07041041140431, -93.24179915961018)",-105,Census_Blocks
2047,"(45.070391139580856, -93.23211522941028)",-11,Census_Blocks
2048,"(45.06407435684301, -93.23843675270264)",-83,Census_Blocks
2049,"(45.08007068191834, -93.23621694750122)",-37,Census_Blocks
2050,"(45.05408385623163, -93.27630774386651)",0,Census_Blocks
2051,"(45.06397189427594, -93.26549295388904)",-10,Census_Blocks
2052,"(45.0664316255177, -93.25581265437418)",0,Census_Blocks
2053,"(45.05096262618267, -93.26747709153688)",-67,Census_Blocks
2054,"(45.05291295331011, -93.23506418484318)",-10,Census_Blocks
2055,"(45.05211187294674, -93.24445579652024)",-34,Census_Blocks
2056,"(45.05905800571889, -93.23702900607148)",-155,Census_Blocks
2057,"(45.06084012225614, -93.26043876244333)",-39,Census_Blocks
2058,"(45.052164137410465, -93.2611638457655)",-122,Census_Blocks
2059,"(45.06080877276354, -93.25272452949409)",-72,Census_Blocks
2060,"(45.05210440968594, -93.25427636424025)",-175,Census_Blocks
2061,"(45.05358057643798, -93.25012825778849)",-139,Census_Blocks
2062,"(45.04458182298249, -93.25441003186215)",-82,Census_Blocks
2063,"(45.03824244751812, -93.26101376716868)",-230,Census_Blocks
2064,"(45.04458831171454, -93.2655796005488)",-49,Census_Blocks
2065,"(45.04459086891494, -93.26045502510132)",-89,Census_Blocks
2066,"(45.044926449263905, -93.2421883268861)",-101,Census_Blocks
2067,"(45.04148678862009, -93.2478930132095)",-163,Census_Blocks
2068,"(45.038108740398734, -93.23573669262069)",-160,Census_Blocks
2069,"(45.04497075113052, -93.2319963244827)",-181,Census_Blocks
2070,"(45.39947266440181, -93.06014682001562)",-109,Census_Blocks
2071,"(45.342030347518275, -93.08137186942056)",-17,Census_Blocks
2072,"(45.37126973698305, -93.05573851689981)",-15,Census_Blocks
2073,"(45.382214259296234, -93.12436146070824)",-82,Census_Blocks
2074,"(46.88289330308538, -95.33140474639997)",-134,Census_Blocks
2075,"(46.78426572274961, -95.26450790463798)",-130,Census_Blocks
2076,"(47.027583042748425, -95.22028856245645)",-56,Census_Blocks
2077,"(46.82714128934744, -95.50160846492378)",-74,Census_Blocks
2078,"(46.8722472939551, -95.60649280045816)",-41,Census_Blocks
2079,"(46.895435100775174, -95.73809253969716)",-127,Census_Blocks
2080,"(46.77088063743058, -95.68734833328043)",-52,Census_Blocks
2081,"(46.810759865415875, -95.73854682612674)",-75,Census_Blocks
2082,"(46.73458360696999, -95.71492484633391)",-130,Census_Blocks
2083,"(46.898199928320494, -95.87227956868324)",-88,Census_Blocks
2084,"(46.87315742939425, -95.84724413199878)",-29,Census_Blocks
2085,"(46.81754744737166, -95.82789653202472)",-6,Census_Blocks
2086,"(46.84055073532195, -95.83730743777298)",-259,Census_Blocks
2087,"(46.821227078482636, -95.8561238270497)",-133,Census_Blocks
2088,"(46.79490183839882, -95.85116471383407)",-120,Census_Blocks
2089,"(46.80447548917037, -95.83431003440772)",-14,Census_Blocks
2090,"(46.811358822814206, -95.83403810233536)",0,Census_Blocks
2091,"(46.75267293373593, -95.81106550877772)",-109,Census_Blocks
2092,"(46.73638600032074, -95.90375243384224)",-23,Census_Blocks
2093,"(46.77346474728277, -95.90077676078786)",-20,Census_Blocks
2094,"(46.907471664573265, -95.97916954002558)",-29,Census_Blocks
2095,"(46.79540315816194, -95.99243303677513)",-31,Census_Blocks
2096,"(46.97962690058626, -96.12533397158447)",-31,Census_Blocks
2097,"(46.758366653114486, -96.05671265190466)",-3,Census_Blocks
2098,"(46.889542291759305, -96.08732923528865)",-107,Census_Blocks
2099,"(46.763195410086, -96.13072488003)",-21,Census_Blocks
2100,"(47.02103572531598, -95.73861159378684)",-77,Census_Blocks
2101,"(47.11657375088085, -95.84555470640072)",-109,Census_Blocks
2102,"(47.05946377765945, -95.3469548474629)",-22,Census_Blocks
2103,"(47.07321467459731, -95.5627641452297)",-34,Census_Blocks
2104,"(47.04980587152373, -95.97441715233201)",-29,Census_Blocks
2105,"(47.5346182639789, -95.00656404395497)",-179,Census_Blocks
2106,"(47.42755066668041, -94.89176808693031)",-71,Census_Blocks
2107,"(47.496212123318315, -95.11009747397387)",-96,Census_Blocks
2108,"(47.448750649855945, -94.99083147636627)",-86,Census_Blocks
2109,"(47.44328871230079, -94.75858611345548)",-57,Census_Blocks
2110,"(47.574173119667726, -94.83309506402631)",-66,Census_Blocks
2111,"(47.55120986323, -94.91537451197028)",-199,Census_Blocks
2112,"(47.529412748426424, -94.87895868611629)",-47,Census_Blocks
2113,"(47.52535550634978, -94.82908514336489)",-94,Census_Blocks
2114,"(47.501278916085106, -94.8899924178414)",-9,Census_Blocks
2115,"(47.63435763207951, -94.84837036567649)",-29,Census_Blocks
2116,"(47.62848126657941, -95.05704850530653)",-45,Census_Blocks
2117,"(47.546132580878556, -94.72122853699982)",-71,Census_Blocks
2118,"(47.62663154105476, -94.58385837658447)",-23,Census_Blocks
2119,"(47.737331818292766, -95.04675719262737)",-38,Census_Blocks
2120,"(47.73792723814024, -94.76445096080192)",-27,Census_Blocks
2121,"(47.72478713701444, -94.50001778818958)",-72,Census_Blocks
2122,"(48.28457834961759, -94.98710243441667)",-40,Census_Blocks
2123,"(47.86914738832328, -94.59249257724893)",-49,Census_Blocks
2124,"(47.47860245780527, -94.89232154807499)",0,Census_Blocks
2125,"(47.498763091572215, -94.86653278543803)",-29,Census_Blocks
2126,"(47.485403498263146, -94.88067551171443)",-31,Census_Blocks
2127,"(47.477478296500216, -94.87437664178537)",-92,Census_Blocks
2128,"(47.474317394578044, -94.88259989283316)",-86,Census_Blocks
2129,"(47.50890494578583, -94.92409024221311)",-318,Census_Blocks
2130,"(47.48932651799599, -94.88763314538171)",-53,Census_Blocks
2131,"(47.48001697996315, -94.90938478485336)",-20,Census_Blocks
2132,"(47.453551462530385, -94.90270437883481)",-73,Census_Blocks
2133,"(47.468725832745726, -94.870861638558)",0,Census_Blocks
2134,"(47.47839014244631, -94.80392198780653)",-191,Census_Blocks
2135,"(47.468023571323215, -94.8482379977466)",-81,Census_Blocks
2136,"(47.44853319293297, -94.85313674935563)",-129,Census_Blocks
2137,"(47.92436618039298, -94.89411552109162)",-247,Census_Blocks
2138,"(48.069997167999404, -95.23552708569497)",-173,Census_Blocks
2139,"(48.09192607893993, -94.82579575352032)",-117,Census_Blocks
2140,"(47.461823169743916, -94.6179859045076)",-83,Census_Blocks
2141,"(47.50626492063358, -94.50144920117488)",-57,Census_Blocks
2142,"(45.77910902230303, -93.84421997926184)",-79,Census_Blocks
2143,"(45.69494532144051, -93.83274870180325)",-159,Census_Blocks
2144,"(45.68359635208993, -93.90549252208227)",-79,Census_Blocks
2145,"(45.65888266751311, -93.89975209621213)",-172,Census_Blocks
2146,"(45.60408324527715, -93.83698147973685)",-110,Census_Blocks
2147,"(45.69125539538157, -94.0282815546487)",-126,Census_Blocks
2148,"(45.7796743286462, -94.02926150095496)",-99,Census_Blocks
2149,"(45.75263341626914, -94.23365834698834)",-164,Census_Blocks
2150,"(45.78879693560053, -94.21530831299577)",-43,Census_Blocks
2151,"(45.71240293398218, -94.19624166501286)",-54,Census_Blocks
2152,"(45.68563971223171, -94.15879567814963)",-110,Census_Blocks
2153,"(45.632107965984034, -94.16887914146515)",-15,Census_Blocks
2154,"(45.614463705974714, -94.18920931643555)",0,Census_Blocks
2155,"(45.618668139945925, -94.07252106585037)",-124,Census_Blocks
2156,"(45.59522877160421, -93.98176580856611)",-89,Census_Blocks
2157,"(45.57999990602652, -94.16233831692344)",0,Census_Blocks
2158,"(45.58842617876068, -94.15483923521231)",-57,Census_Blocks
2159,"(45.588122090932195, -94.13965621978708)",-195,Census_Blocks
2160,"(45.59643650107651, -94.17635913491841)",-76,Census_Blocks
2161,"(45.60533964323952, -94.17957123511876)",-118,Census_Blocks
2162,"(45.60723668235976, -94.18850469196619)",-61,Census_Blocks
2163,"(45.607622075852845, -94.16677860632231)",-110,Census_Blocks
2164,"(45.609376662574974, -94.14706748070137)",-156,Census_Blocks
2165,"(45.59914497338902, -94.16451986024398)",-63,Census_Blocks
2166,"(45.57278308583275, -94.13735311705393)",-55,Census_Blocks
2167,"(45.57288190244699, -94.10841134424913)",-30,Census_Blocks
2168,"(45.563071317411804, -94.11283957385733)",-140,Census_Blocks
2169,"(45.56995870019841, -94.15761152504928)",-17,Census_Blocks
2170,"(45.566209550034365, -94.14602920765083)",-133,Census_Blocks
2171,"(45.38163367413045, -96.28683889750249)",-109,Census_Blocks
2172,"(45.48315225785579, -96.60443748959423)",-64,Census_Blocks
2173,"(45.55198782235176, -96.46522420853358)",-54,Census_Blocks
2174,"(45.28872165624048, -96.42250873898507)",-51,Census_Blocks
2175,"(45.326228027371386, -96.44210282816958)",-15,Census_Blocks
2176,"(45.31042463011188, -96.45431255164146)",-20,Census_Blocks
2177,"(44.16695643102641, -93.82616687965438)",-64,Census_Blocks
2178,"(44.22143348832977, -93.82893978716749)",-83,Census_Blocks
2179,"(44.170384147385924, -93.89142765907894)",-244,Census_Blocks
2180,"(44.13705994006991, -93.92294633414012)",-100,Census_Blocks
2181,"(44.213056461455835, -93.98274199690212)",-268,Census_Blocks
2182,"(44.20847321367925, -93.9254426662088)",-103,Census_Blocks
2183,"(44.18899765846091, -93.99345905211219)",-252,Census_Blocks
2184,"(44.17143102680824, -93.98662954416963)",-31,Census_Blocks
2185,"(44.177532796153294, -93.99204647659408)",-96,Census_Blocks
2186,"(44.172368888673475, -93.9677795973292)",-121,Census_Blocks
2187,"(44.1663186376104, -93.98152055881344)",-79,Census_Blocks
2188,"(44.16129867895155, -93.98747794312237)",-60,Census_Blocks
2189,"(44.16075438693521, -93.9718294585593)",-101,Census_Blocks
2190,"(44.1524985723013, -93.9633302295429)",-28,Census_Blocks
2191,"(44.16490668087083, -93.9544724838041)",-19,Census_Blocks
2192,"(44.158889702486164, -93.95293475511664)",-121,Census_Blocks
2193,"(44.17112269108417, -93.9946633940239)",-12,Census_Blocks
2194,"(44.16534145432623, -93.99237793962692)",-56,Census_Blocks
2195,"(44.16813797906109, -93.99793600969303)",0,Census_Blocks
2196,"(44.16388797924433, -94.00835843829353)",-19,Census_Blocks
2197,"(44.15912714037828, -94.00771926342841)",-46,Census_Blocks
2198,"(44.131563526667165, -94.03720221582157)",-20,Census_Blocks
2199,"(44.15722146490884, -94.02023924895532)",-59,Census_Blocks
2200,"(44.13593784730932, -94.01825273688561)",-80,Census_Blocks
2201,"(44.16158037265592, -94.02809879727506)",-62,Census_Blocks
2202,"(44.14013208579848, -94.3153600444891)",-40,Census_Blocks
2203,"(44.16181952062365, -94.17545817426438)",-63,Census_Blocks
2204,"(44.12183328013704, -94.08822019884974)",-52,Census_Blocks
2205,"(44.06876710788792, -94.19147129916854)",-45,Census_Blocks
2206,"(44.11988093679315, -94.23204344325417)",-80,Census_Blocks
2207,"(44.10587538836954, -94.20691275970871)",-48,Census_Blocks
2208,"(44.15349825853136, -94.00315943104751)",-115,Census_Blocks
2209,"(44.14742750375627, -93.99457025481294)",0,Census_Blocks
2210,"(44.148057457766065, -94.00483630476523)",-58,Census_Blocks
2211,"(44.15457698235806, -93.9813412940274)",-75,Census_Blocks
2212,"(44.15565061561629, -93.99518293061537)",-31,Census_Blocks
2213,"(44.1484914021813, -93.98537702350448)",-28,Census_Blocks
2214,"(44.13657137514984, -93.97779365023925)",-18,Census_Blocks
2215,"(44.084915235978656, -93.8166536185204)",-25,Census_Blocks
2216,"(44.06542013719589, -93.92734817428395)",-117,Census_Blocks
2217,"(44.06122163920538, -94.06290031736438)",-51,Census_Blocks
2218,"(43.97787172329401, -93.88655590950222)",-72,Census_Blocks
2219,"(43.89070114666386, -93.94324076904199)",-56,Census_Blocks
2220,"(43.933466844307304, -93.97872329392753)",-76,Census_Blocks
2221,"(43.9686048657681, -94.25601055805936)",-57,Census_Blocks
2222,"(43.88551791889405, -94.21821446465209)",-65,Census_Blocks
2223,"(43.976800375785714, -94.05630819091247)",-39,Census_Blocks
2224,"(44.136549790667615, -93.98502035289096)",-73,Census_Blocks
2225,"(44.13397389451985, -93.9970999665624)",-123,Census_Blocks
2226,"(44.140625105160325, -93.99888594167393)",-108,Census_Blocks
2227,"(44.32067450649718, -94.46145564961326)",-48,Census_Blocks
2228,"(44.31095034245946, -94.45202878631503)",0,Census_Blocks
2229,"(44.296008628741674, -94.43505983337371)",-95,Census_Blocks
2230,"(44.29207171687892, -94.45853301238749)",-24,Census_Blocks
2231,"(44.30469907906183, -94.45708707258929)",-82,Census_Blocks
2232,"(44.30028144606378, -94.46710131155385)",-158,Census_Blocks
2233,"(44.30962740156331, -94.46343857695447)",-23,Census_Blocks
2234,"(44.31875627224619, -94.47394157665305)",-50,Census_Blocks
2235,"(44.31031569383564, -94.4731575112513)",-28,Census_Blocks
2236,"(44.31607560551632, -94.46673359049484)",-4,Census_Blocks
2237,"(44.32413893353275, -94.47694795562279)",-54,Census_Blocks
2238,"(44.304578077658896, -94.54174096256521)",-136,Census_Blocks
2239,"(44.3268964587404, -94.83009662715133)",-48,Census_Blocks
2240,"(44.34178002427775, -94.50009877837454)",-59,Census_Blocks
2241,"(44.36797740703154, -94.67947723261253)",-29,Census_Blocks
2242,"(44.31720739576455, -94.71779340580198)",-87,Census_Blocks
2243,"(44.295146418191756, -94.72067556979518)",-56,Census_Blocks
2244,"(44.270834477513496, -94.70115854814931)",-34,Census_Blocks
2245,"(44.27598038424398, -94.73540313891024)",-24,Census_Blocks
2246,"(44.188183745388734, -95.02679744982382)",-22,Census_Blocks
2247,"(44.24223077431082, -94.98256714949672)",-112,Census_Blocks
2248,"(44.225456452589896, -94.95095571602826)",-34,Census_Blocks
2249,"(44.24643996009186, -94.4672499108714)",-65,Census_Blocks
2250,"(44.1906963959156, -94.60503919448132)",-50,Census_Blocks
2251,"(44.17299620486192, -94.80590186906737)",-19,Census_Blocks
2252,"(44.151409861673535, -94.44292763446286)",-59,Census_Blocks
2253,"(46.746577168938245, -92.457647926276)",-26,Census_Blocks
2254,"(46.718446432301974, -92.4333951625385)",-127,Census_Blocks
2255,"(46.71431279475924, -92.44229366504133)",-44,Census_Blocks
2256,"(46.72139196333829, -92.44648194174295)",-94,Census_Blocks
2257,"(46.72109587669499, -92.45705701225917)",-15,Census_Blocks
2258,"(46.7041740023436, -92.43446844873621)",-72,Census_Blocks
2259,"(46.68945062865206, -92.44355207906122)",-52,Census_Blocks
2260,"(46.71423902088759, -92.45640228245308)",-49,Census_Blocks
2261,"(46.710161219439584, -92.44874409817679)",-38,Census_Blocks
2262,"(46.68017897769355, -92.3466884013329)",-144,Census_Blocks
2263,"(46.72273011611567, -92.39483114197913)",-51,Census_Blocks
2264,"(46.735680940470296, -92.33355179859036)",-18,Census_Blocks
2265,"(46.70149000473492, -92.47018837049505)",-168,Census_Blocks
2266,"(46.65731061855953, -92.47815140488447)",-13,Census_Blocks
2267,"(46.631287285571354, -92.36055808148582)",-52,Census_Blocks
2268,"(46.57572056038166, -92.47723886308117)",-94,Census_Blocks
2269,"(46.48975675107611, -92.41935435126142)",-48,Census_Blocks
2270,"(46.45735440120122, -92.78651095249)",-33,Census_Blocks
2271,"(46.44173146799353, -92.75324535391088)",-56,Census_Blocks
2272,"(46.5939286662504, -92.6049605948836)",-123,Census_Blocks
2273,"(46.47410142344976, -92.63954820354688)",-27,Census_Blocks
2274,"(46.499441042881905, -92.69160272400657)",-49,Census_Blocks
2275,"(46.552307058333945, -92.86198731929183)",-42,Census_Blocks
2276,"(46.65869452970098, -92.77514120575886)",-29,Census_Blocks
2277,"(46.46867504250644, -92.93935848890563)",-21,Census_Blocks
2278,"(46.681846620046386, -92.95731632433332)",-123,Census_Blocks
2279,"(46.74454059528208, -92.59942134919118)",-92,Census_Blocks
2280,"(46.69336229967163, -92.5413377046702)",-96,Census_Blocks
2281,"(46.695063518221836, -92.6682904020868)",-61,Census_Blocks
